Zip_Code,Population,White,Black,Native_American,Asian,Hawaiian_Pacific_Islander,Other,Latino,Mixed_Race
88039,349,300,0,0,0,0,0,49,0
88040,66,66,0,0,0,0,0,0,0
88041,1145,449,0,16,0,0,0,656,48
88042,207,201,0,0,0,0,0,0,12
88043,1670,497,15,0,0,0,0,1149,18
88044,3567,549,0,0,20,0,0,2974,48
88045,3527,1077,21,18,0,0,0,2411,0
88046,766,190,0,0,0,0,0,568,16
88047,2560,838,0,0,0,0,0,1722,0
88048,2679,242,0,47,0,0,0,2365,50
88049,450,349,0,0,15,0,0,70,32
88051,141,135,0,0,0,0,0,6,0
88052,225,201,0,0,0,0,0,24,0
88053,156,135,0,0,0,0,0,21,0
88055,12,12,0,0,0,0,0,0,0
88056,189,179,0,0,0,0,0,10,0
88061,17858,9005,60,333,21,8,16,8150,530
88063,13310,190,6,18,0,0,0,13096,0
88065,573,344,0,0,0,0,0,229,0
88072,1793,15,0,0,0,0,0,1778,0
88081,16740,2336,155,94,0,0,0,14072,166
88101,46922,22810,2640,357,689,57,70,19431,1736
88103,316,96,45,0,18,0,0,148,18
88112,153,141,1,0,0,0,0,11,0
88113,58,14,0,0,0,0,0,44,0
88114,7,7,0,0,0,0,0,0,0
88115,85,50,0,1,0,0,0,13,42
88116,300,241,0,0,0,0,0,59,0
88118,300,224,0,0,0,0,0,76,0
88119,1896,939,30,0,0,0,0,922,10
88120,251,142,0,30,0,0,0,70,18
88121,95,73,0,0,0,0,0,1,42
88124,1129,951,2,67,0,0,0,103,12
88125,35,26,0,0,0,0,0,9,0
88126,35,35,0,0,0,0,0,0,0
88130,18064,9331,541,103,94,0,23,7615,714
88132,330,278,0,0,0,0,0,52,0
88134,95,89,0,0,0,0,0,6,0
88135,1672,671,86,0,0,0,0,889,52
88136,25,25,0,0,0,0,0,0,0
88201,26506,14776,194,95,289,23,9,10744,752
88203,30580,8841,777,365,114,8,47,20168,520
88210,18962,8596,219,312,156,0,0,9653,52
88220,35488,18090,583,274,100,23,42,16021,710
88230,5071,1717,0,5,6,0,0,3314,58
88231,3256,1553,0,5,0,0,0,1698,0
88232,2418,779,37,39,0,0,0,1563,0
88240,40188,13627,2295,374,13,27,131,23046,1350
88242,7167,4188,109,28,10,0,0,2640,384
88250,283,73,0,0,0,0,0,210,0
88252,2183,951,0,11,8,0,0,1188,50
88253,736,305,0,0,0,0,0,431,0
88254,31,31,0,0,0,0,0,0,0
88255,21,0,0,0,0,0,0,21,0
88256,1829,548,0,129,0,0,0,1129,46
88260,15288,4739,113,22,0,0,32,10296,172
88262,11,11,0,0,0,0,0,0,0
88263,150,33,0,24,0,0,0,93,0
88264,22,22,0,0,0,0,0,0,0
88265,139,103,0,0,0,0,0,36,0
88267,1244,627,0,12,0,0,0,597,16
88268,147,147,0,0,0,0,0,0,0
88301,1148,670,10,100,1,0,0,327,80
88310,36010,21055,1339,445,546,20,69,11588,1896
88311,1294,977,3,43,61,0,0,158,104
88312,2647,2065,0,0,0,0,0,582,0
88314,22,22,0,0,0,0,0,0,0
88316,2082,1380,100,32,0,0,0,547,46
88317,1473,1227,5,3,0,0,0,232,12
88318,344,298,0,0,0,0,0,34,24
88321,91,28,0,0,0,0,0,63,0
88323,0,0,0,0,0,0,0,0,0
88324,215,98,0,0,0,0,0,63,108
88325,497,395,0,0,0,0,0,102,0
88330,3914,2481,486,33,86,0,0,558,540
88336,459,153,0,0,0,0,0,306,0
88337,2206,1789,0,33,0,8,0,319,114
88338,290,199,0,0,0,0,0,91,0
88339,635,506,0,2,0,0,0,85,84
88340,3704,93,1,3289,0,0,0,321,0
88341,462,432,0,13,0,0,0,1,32
88342,96,96,0,0,0,0,0,0,0
88343,27,19,0,0,0,0,0,2,12
88344,25,25,0,0,0,0,0,0,0
88345,8229,5511,0,163,102,0,0,2201,504
88346,3056,1300,0,0,0,0,0,1756,0
88347,148,133,0,0,4,0,0,11,0
88348,341,131,0,0,0,0,0,210,0
88349,12,12,0,0,0,0,0,0,0
88350,336,291,0,0,0,0,0,45,0
88351,196,92,0,0,0,0,0,104,0
88352,4816,2338,26,124,62,0,6,2260,0
88353,311,15,2,0,0,0,0,294,0
88354,14,14,0,0,0,0,0,0,0
88355,0,0,0,0,0,0,0,0,0
88401,6489,2776,133,71,34,17,22,3398,76
88410,81,81,0,0,0,0,0,0,0
88411,50,48,0,0,0,0,0,2,0
88414,40,10,0,0,1,0,0,29,0
88415,3509,1607,55,87,0,0,17,1624,238
88416,0,0,0,0,0,0,0,0,0
88417,0,0,0,0,0,0,0,0,0
88418,158,106,0,0,0,0,0,52,0
88419,181,142,0,5,0,0,0,34,0
88421,32,0,0,0,0,0,0,32,0
88422,103,99,0,0,0,0,0,4,0
88424,65,65,0,0,0,0,0,0,0
88426,1076,790,0,13,21,0,0,239,26
88427,214,180,0,0,0,0,0,24,20
88430,61,53,0,0,0,0,0,8,0
88431,54,54,0,0,0,0,0,0,0
88434,430,311,0,0,0,0,0,103,32
88435,3766,654,55,58,0,0,0,2990,18
88436,104,104,0,0,0,0,0,0,0
89001,1167,1057,2,0,0,0,0,108,0
89002,35170,26743,1383,64,1490,33,56,4739,1324
89003,775,609,0,0,0,0,0,158,16
89004,437,432,0,0,0,0,0,5,0
89005,15648,13092,49,167,383,39,0,1412,1012
89007,1277,727,0,0,0,0,0,550,0
89008,1286,1207,5,0,0,0,0,74,0
89010,512,327,7,14,0,0,0,157,14
89011,23361,12899,1846,85,2572,14,0,4897,2096
89012,32503,22401,1419,19,2868,94,66,4479,2314
89013,449,418,0,12,0,0,5,12,4
89014,39460,23366,2803,348,2416,313,214,8352,3296
89015,42366,28467,3142,190,913,259,8,8218,2338
89017,78,78,0,0,0,0,0,0,0
89018,4833,1801,1383,57,48,42,21,1287,388
89019,1748,1320,64,0,77,0,0,285,4
89020,1591,513,0,0,0,0,0,1078,0
89021,3591,3218,0,0,27,0,0,307,78
89022,9,9,0,0,0,0,0,0,0
89025,1502,727,0,283,0,2,1,485,8
89026,0,0,0,0,0,0,0,0,0
89027,17467,13033,126,66,344,32,46,3643,354
89029,7973,6118,328,36,146,29,0,1019,594
89030,48944,4701,7733,185,686,183,37,34831,1176
89031,66830,23109,12198,381,4373,371,218,22917,6526
89032,44155,10229,10909,79,2858,689,11,17547,3666
89039,134,125,4,0,0,0,0,5,0
89040,3394,3113,0,49,23,0,0,198,22
89042,1231,1118,0,0,33,0,0,61,38
89043,1441,896,128,166,20,0,0,210,42
89044,19525,14655,665,29,2288,24,83,1266,1030
89045,1750,1402,14,6,0,0,0,257,142
89046,354,335,0,0,0,0,0,19,0
89047,65,62,0,0,0,0,0,3,0
89048,21193,17771,474,72,329,31,0,2199,634
89049,2755,2243,174,14,4,0,0,200,240
89052,53535,34398,2444,56,7691,137,38,6905,3732
89054,41,41,0,0,0,0,0,0,0
89060,9373,6772,529,27,36,72,0,1726,422
89061,5360,4098,121,72,336,51,0,496,372
89074,49107,32671,1940,63,3988,242,51,8275,3754
89081,35467,10100,9009,89,2514,17,62,11576,4200
89084,25307,11484,3886,193,3174,180,43,5328,2038
89085,4679,2855,223,0,647,53,0,814,174
89086,6003,1827,1785,0,221,0,12,1799,718
89101,41265,8175,6303,193,1364,227,25,24030,1896
89102,38831,10584,3876,196,3053,165,50,20101,1612
89103,51928,17101,7655,141,6778,218,221,18401,2826
89104,39473,10200,2748,205,1720,163,16,23660,1522
89106,26803,3522,9657,263,1419,318,80,10748,1592
89107,36861,13462,3031,194,1424,403,82,17185,2160
89108,74753,25558,12387,269,2816,662,314,31219,3056
89109,7705,3436,1178,14,658,0,15,2178,452
89110,74466,15274,6022,121,4649,525,108,46110,3314
89113,28166,12572,2687,0,6361,183,24,4715,3248
89115,60348,11385,11703,138,1583,238,131,33524,3292
89117,54762,30102,4317,138,7531,438,240,9318,5356
89118,21407,9078,2751,32,3736,118,6,4612,2148
89119,52171,15225,6060,299,5252,324,313,22886,3624
89120,25235,12013,1869,108,2098,256,39,8123,1458
89121,64457,25320,6782,275,3194,613,120,26464,3378
89122,51074,17377,5322,562,5570,673,483,19265,3644
89123,58630,32397,3700,243,7416,977,86,11549,4524
89124,900,674,3,41,75,0,0,81,52
89128,36412,16783,4670,216,3386,174,105,9442,3272
89129,56224,32423,6293,261,4618,221,129,9904,4750
89130,36246,20001,4465,93,1855,288,50,8268,2452
89131,46772,29979,4379,37,2640,289,57,7095,4592
89134,24357,18765,1188,35,1881,66,64,1890,936
89135,26259,17585,1345,32,3437,11,5,2863,1962
89138,15117,9231,578,0,2377,125,120,2213,946
89139,38846,13235,4214,255,10792,322,9,8300,3438
89141,31276,15191,2178,100,6446,236,61,5643,2842
89142,35891,8079,2945,102,4218,153,77,19323,1988
89143,13491,8323,1017,69,861,21,9,2422,1538
89144,19575,12389,1520,30,2558,77,207,2251,1086
89145,24536,13293,1768,149,1702,277,112,6464,1542
89146,18375,7803,1486,32,2286,0,27,6068,1346
89147,53840,22827,6080,211,10279,267,171,11702,4606
89148,50767,20839,4216,149,11749,625,209,9753,6454
89149,37967,23738,3864,271,2365,297,180,5354,3796
89156,28746,8662,3313,210,965,136,61,14412,1974
89161,149,130,0,0,0,0,0,19,0
89166,20128,11100,2548,134,1331,35,187,3825,1936
89169,20987,5643,2676,30,1463,94,0,10276,1610
89178,36615,16903,2148,62,8622,444,85,6172,4358
89179,6172,2755,257,6,1563,51,18,1143,758
89183,38941,18336,3532,25,6326,744,0,7970,4016
89191,701,436,57,0,42,14,0,112,80
89301,7747,5331,458,466,74,17,0,1352,98
89310,432,345,0,80,0,0,0,7,0
89311,116,116,0,0,0,0,0,0,0
89314,409,19,0,354,5,10,0,18,6
89316,1227,1191,3,6,0,0,0,27,0
89317,303,280,4,6,0,0,0,13,0
89318,1367,1151,0,70,0,0,0,146,0
89319,276,256,0,8,0,0,0,0,24
89402,15,15,0,0,0,0,0,0,0
89403,15103,11693,121,321,188,40,145,2112,966
89404,75,75,0,0,0,0,0,0,0
89405,27,27,0,0,0,0,0,0,0
89406,23989,17713,585,966,586,51,49,3214,1650
89408,19579,14625,315,150,242,30,44,3546,1254
89409,158,147,0,11,0,0,0,0,0
89410,10895,8749,85,56,177,19,19,1358,864
89411,910,886,0,8,0,0,0,16,0
89412,239,238,0,0,0,0,0,1,0
89413,599,506,0,0,65,0,0,28,0
89414,274,260,0,14,0,0,0,0,0
89415,3227,2421,34,45,185,0,0,384,316
89418,382,377,1,4,0,0,0,0,0
89419,5502,3416,310,180,87,30,3,1420,112
89420,8,8,0,0,0,0,0,0,0
89421,605,146,0,434,5,0,0,12,16
89422,85,85,0,0,0,0,0,0,0
89423,10352,9012,94,44,54,1,18,930,398
89424,289,3,0,223,9,12,7,0,70
89425,387,298,0,0,0,0,0,89,0
89426,151,125,0,0,0,0,0,26,0
89427,1128,61,0,920,21,0,3,111,24
89428,173,154,0,0,0,0,0,19,0
89429,7411,6516,15,83,116,0,0,318,726
89430,600,461,0,0,0,0,0,119,40
89431,37881,18098,963,558,1276,97,11,15873,2010
89433,21659,10725,545,117,661,83,25,9064,878
89434,26107,15847,451,319,2424,288,41,5811,1852
89436,40745,29187,1164,271,2156,24,8,6628,2614
89438,95,95,0,0,0,0,0,0,0
89439,1465,1361,6,13,0,0,0,71,28
89440,686,664,10,2,0,0,0,8,4
89441,12967,9619,211,619,200,42,0,2053,446
89442,1051,369,16,478,0,12,0,119,114
89444,2634,2272,12,17,9,5,0,220,198
89445,16309,10887,110,313,38,3,50,4559,698
89446,0,0,0,0,0,0,0,0,0
89447,7809,5208,40,463,11,35,0,1888,328
89448,1371,1318,0,0,12,0,0,26,30
89449,3284,2297,49,28,42,13,14,698,286
89450,91,91,0,0,0,0,0,0,0
89451,8795,6685,19,105,150,6,10,1651,338
89460,13347,10817,21,632,201,38,25,1430,366
89501,3852,2619,238,100,122,103,0,529,282
89502,45953,19930,859,960,2354,325,28,20793,1408
89503,28620,20990,656,230,1874,269,30,3613,1916
89506,41279,23898,1353,344,1714,158,35,12216,3122
89508,12418,9584,108,80,278,13,0,1731,1248
89509,34717,26088,551,129,1494,257,106,5276,1632
89510,1545,1008,11,203,6,23,0,280,28
89511,25498,21342,138,134,849,92,0,2200,1486
89512,25815,10867,1164,185,1742,510,372,9727,2496
89519,8250,7021,79,42,378,10,0,461,518
89521,29675,21821,351,212,2404,180,0,3534,2346
89523,35266,25233,611,486,3091,130,0,4813,1804
89701,26440,17152,474,549,427,33,17,6902,1772
89702,0,0,0,0,0,0,0,0,0
89703,9789,7794,134,268,493,26,16,903,310
89704,3822,3458,32,16,94,0,0,172,100
89705,5253,3734,17,89,60,0,0,1190,326
89706,19482,12885,245,246,404,0,56,5384,524
